Page ID,Page name,Disclaimer,Amount spent (INR),Number of ads in Library
157202860803698,Manmohan Bhadana - Mannu,Manmohan Bhadana - Mannu,528,1
1157652540940990,Dr Daljit Singh Cheema,Dr Daljit Singh Cheema,527,3
616931194829885,Rohi Foundation NGO,Rohi Foundation,527,1
602375607274243,Rishabh Sardana,Rishabh Sardana,525,2
108874414684010,Gutha Amith Reddy,Gutha Amith Reddy,524,2
269905909879332,Ravi Agrawal,Ravi Agrawal,523,15
106742464626803,Pardeep Vats,Pardeep Vats,516,11
1629092507416340,Dilpreet Singh DP,Dilpreet Singh DP,516,13
102277376171800,Yash Agarwal,Yash Agarwal,515,4
290125350856569,Yashveer Lodhi,Yashveer Lodhi,514,1
177175432472750,Manoj Kumar Jain BJP,Manoj Kumar Jain BJP,514,1
232901336809764,Prem Chand Aggarwal,Prem Chand Aggarwal,512,2
100118461349090,Bhawna Bohra,The VoloPV,510,1
108088074367367,Sunayna Prakash - Soul 2 Soul with Sunayna,Sunayna Prakash - Soul 2 Soul with Sunayna,510,2
231440000062009,डाॅ.मंगेश तांबे,डाॅ.मंगेश तांबे,509,1
115414138167754,Virender Singh Yadav -हबलू नंबरदार,Virender Singh Yadav -हबलू नंबरदार,508,8
593659104429758,Nirvachanguru,Nirvachanguru,507,1
375281212346187,Manpreet Singh Ayali Team,Manpreet Singh Ayali Team,505,4
795910444128769,Yuva Bihar,Yuva Bihar,501,5
623319817528899,Binod Kumar Choudhary,Worddss Infotech,500,4
105656681183483,Vinay Agrawal,These ads ran without a disclaimer,500,1
109405609198056,Paras Health,Paras Health,500,1
935503089847466,Pant Path,Pant Path,499,2
685378605005326,Amitesh Shukla,Amitesh Shukla,499,1
1394348340777321,The Statesman,The Statesman Net Pvt Limited,499,1
106473341598352,Mayur Golwala,These ads ran without a disclaimer,498,2
105073542218128,Shankaracharya Govardhan Peeth Swami Adhokshjanand Devtirth,shree adhya shankaracharya dharmotthan sansad,497,5
417480301458672,Sandeep Singh SYV,Sandeep Singh SYV,497,1
100979628433430,Kamlesh Uniyal,Kamlesh Uniyal,487,7
234260773599989,Kunal Kumar,Kunal Kumar,484,3
101538858448134,The Summer News,The Summer News,477,1
108961510680625,Dheeraj Thakur,Swanit Infotech,476,8
103688032445275,Prince Yukesh Singh,Prince Yukesh Singh,474,5
110374320506069,Karnail Singh,Karnail Singh,472,1
103406515394734,इंजीनियर सुनील कुमार यादव,इंजीनियर सुनील कुमार यादव,471,3
419727994554766,SAMYA,BRRO,470,1
294703864386320,Rashtriya Kisan Manch,Pandit Shekhar Dixit,467,3
109666834688109,Saleem Sarang,OutFlow Social,466,2
116525378090861,TeesBunker,TeesBunker,465,1
290125350856569,Yashveer Lodhi,These ads ran without a disclaimer,463,1
246253911912355,What is Palm Oil?,These ads ran without a disclaimer,461,1
413335251852874,Sahafat Media,Sahafat Media,458,3
112939653780224,MLA Induraj Narwal Bhalu,MLA Induraj Narwal Bhalu,457,2
323203890878067,Gaur Properties,Gaur Properties,457,1
447456022283373,Amit Agarwal,Amit Agarwal,456,9
103002939517268,Aman Chopra,Aman Chopra,454,1
103760102031014,Rajeshwar Singh,Medevento Planner,446,3
0,Instagram User 6070854838,These ads ran without a disclaimer,441,1
111110957683757,Priya Shakya,Priya Shakya,440,8
104295385865861,Sikh Politics,Sikh Politics,440,4
222494364270638,Avinash Patil - Jadhav,Avinash Patil - Jadhav,440,1
157055547805820,Indian Industries Association - IIA,Indian Industries Association - IIA,439,1
2111964629030108,Ashish Mishra,Ashish Mishra,439,9
113760531749871,Thakur Yogendra Pal Singh Tomar,Thakur Yogendra Pal Singh Tomar,436,1
100493561785436,Dr. Sarfaraj Alam,Dr. Sarfaraj Alam,435,2
296002831234834,Swapnil Kothari,Swapnil Kothari,434,1
478041645392088,DK Mohan,DK Mohan,433,6
595162283681561,66 Lottery Vip2,These ads ran without a disclaimer,432,4
1152270198243235,Adv Ajay Yadav,Workforce Infotech,429,1
197530633436131,लोकसंघर्ष,लोकसंघर्ष,426,1
289211774272958,Shri Ganesh & S G Kids Schools,These ads ran without a disclaimer,424,1
104418925651544,Aditya Trivedi,globe Broadcasting,423,2
114965258346358,Pushkar Jha,Pushkar Jha,422,1
739221966159227,Rajesh Singh Dayal,Rajesh Singh Dayal,420,7
503591356423650,Ram Niwas Rara,Ram Niwas Rara,418,1
162997543569091,Vishal Sharma,These ads ran without a disclaimer,415,1
1683954348503491,RS Bali,RS Bali,414,1
637032090249714,Ujjal Phukon,Ujjal Phukon,411,3
1063955610325407,India Town News,Kartavaya Advertisers,410,4
109759257551393,Pro Punjab Tv,Pro Punjab Tv,408,1
167118396824153,Akshay Kanti Bam,Akshay Kanti Bam,404,5
426881010719758,Soumik Hossain,Soumik Hossain,401,4
317454018592115,Daily Post Punjabi,Daily Post Punjabi,400,2
111311881061077,Jaspreet Singh Karamsar,Stylo Travels,398,4
269656350189153,सागर गुप्ता,सागर गुप्ता,394,1
397087607805052,Untold Punjab,Untold Punjab,389,2
105143265163807,A.Hafeez shaikh,A.Hafeez shaikh,388,3
591629570924987,Manoj Kumar,Manoj Kumar,387,3
104398555950063,Ravindra Mohanlal Murliwala,Ravindra Mohanlal Murliwala,384,8
429529550572757,UniVarta,UniVarta,382,1
100626199690541,We Support Amit Shah,We Support Amit Shah,382,2
564087730311701,Umesh Sharma Kau,Umesh Sharma Kau,376,1
0,Instagram User 1124453724,These ads ran without a disclaimer,376,1
108683207761115,Dibakar Gharami,Dibakar Gharami,373,1
267449426454795,Rajeev Ranjan Raj,Rajeev Ranjan Raj,373,3
529881643856534,Bhanuben Babariya,Bhanuben Babariya,372,5
108558100489665,IHW Council,IHW Council,370,4
113738948471735,Dr. Ved Prakash Tandon,Dr. Ved Prakash Tandon,368,3
1418961411498523,Nimrat Kaur,Nimrat Kaur,368,9
1108773722539061,Kidari Sraawan Kumaar,Kidari Sraawan Kumaar,367,3
102303134507801,Ocean Purpose Project,These ads ran without a disclaimer,367,1
376824245510184,Kiran Singh Deo.official,Kartavaya Advertisers,366,1
111861104315866,Prateek Kalia,Prateek Kalia,364,3
106261054498841,Advocate Rajat Bhargava,Advocate Rajat Bhargava,364,6
107729402302653,Amit Shah Fan Club,Amit Shah Fan Club,364,2
176162586315764,Bhagaban Das,bhagabandas,363,5
1506822299538651,Vijay Kumar Mishra,Vijay Kumar Mishra,360,6
2192814514298439,Dr.Ashok Kumar Yadav,Dr.Ashok Kumar Yadav,360,1
567514886445740,Sanjeev Mishra,Sanjeev Mishra,359,10
309144062274760,Rajan Singh,AL RIZVIA MADADGAR TRUST,358,2
184848438961199,Surya Singh,Surya Singh,357,3
122102870216008863,Prateek Chaudhary,Prateek Chaudhary,356,2
100193472986676,भारतीय राजनीति के चाणक्य - अमित शाह,भारतीय राजनीति के चाणक्य - अमित शाह,356,2
421962034490470,Dhananjay Mahadik MP Kolhapur,Ashwamedha Media,355,1
344724472624518,Jupiter Public School,Jupiter Public School,355,1
110418618289766,MUNSIF TV INDIA,Munsif TV INDIA,352,4
110194685265228,Praveen Jha,Praveen Jha,351,2
253832617808976,ਬਠਿੰਡਾ ਲੋਕ ਸਭਾ ਦੀ ਬਦਲੀ ਨੁਹਾਰ,Shiromani Akali Dal,348,2
256683878023906,Atul Bora  অতুল বৰা,Atul Bora  অতুল বৰা,347,1
449380754924328,Ashutosh Sharma,Ashutosh Sharma,343,3
357607561482962,Riyas Khan,Riyas Khan,342,3
634163519774038,Bangla Gifts,These ads ran without a disclaimer,342,3
912096938897209,Vijay Singh,Vijay Singh,339,5
571167629925037,Ravi Boseraju,Ravi Boseraju,338,2
